GEOID,county_name,total_population,equity_need_score,commute_burden_score,is_transit_desert,transit_access_index,median_household_income,predicted_burden_score,high_priority_flag
06013324002,Contra Costa,4740,0.5117,0.2148,1,0.0,103581,0.165,1
06013320004,Contra Costa,6599,0.4437,0.1448,1,0.0,118109,0.1427,1
06013336201,Contra Costa,3376,0.5053,0.1488,1,0.0,92708,0.1806,1
06013338203,Contra Costa,5431,0.3557,0.1616,0,0.2528975577225961,142840,0.1094,0
06013338204,Contra Costa,6600,0.4176,0.1835,0,0.0097458937051577,140739,0.1578,1
06013345204,Contra Costa,3152,0.285,0.1297,1,0.0,237841,0.1063,0
06013345203,Contra Costa,6954,0.3086,0.0817,1,0.0,177356,0.1045,0
06013345112,Contra Costa,7723,0.3401,0.1593,1,0.0,184091,0.1341,1
06013345113,Contra Costa,4767,0.3271,0.1957,1,0.0,222212,0.1005,0
06001441402,Alameda,5344,0.344,0.1606,1,0.0,180938,0.112,0
06001441501,Alameda,5723,0.3159,0.1144,1,0.0,184967,0.1276,0
06001441521,Alameda,6016,0.3046,0.1594,1,0.0,229318,0.1167,0
06001441522,Alameda,5275,0.3244,0.115,1,0.0,178182,0.0822,0
06001441601,Alameda,4774,0.3313,0.1526,1,0.0,189667,0.1177,0
06001441602,Alameda,7509,0.4247,0.1219,1,0.0,121667,0.0895,0
06001441800,Alameda,6209,0.3353,0.0778,0,0.0506894817483193,152667,0.0968,0
06001441921,Alameda,3849,0.363,0.1489,1,0.0,163468,0.1293,1
06001441923,Alameda,5777,0.3655,0.0893,0,0.1168661792785323,132810,0.1029,0
06001442100,Alameda,5327,0.272,0.0921,1,0.0,227949,0.1125,0
06001442400,Alameda,6417,0.4205,0.1248,1,0.0,124886,0.0972,0
06001440337,Alameda,2852,0.2236,0.1069,0,0.1870889210448752,250001,0.1323,1
06001440338,Alameda,4095,0.3158,0.1557,0,0.4188162768370818,144850,0.1281,0
06001451103,Alameda,1361,0.2659,0.1168,1,0.0,250001,0.1037,0
06001432602,Alameda,3123,0.4228,0.0984,0,0.0895407767024899,109274,0.1116,0
06001451104,Alameda,7164,0.368,0.1996,1,0.0,177210,0.1519,1
06001441928,Alameda,3736,0.4062,0.2025,0,0.016347253867258,151902,0.1631,1
06001441929,Alameda,3064,0.371,0.1736,0,0.3602456778870283,126111,0.1029,0
06001441701,Alameda,3884,0.3974,0.108,1,0.0,133606,0.0711,0
06001444304,Alameda,6408,0.2882,0.0666,1,0.0,189750,0.1164,0
06001441525,Alameda,1603,0.237,0.0407,0,0.2062234342067428,186354,0.087,0
06001436301,Alameda,5255,0.371,0.1804,0,0.1612890904903777,149063,0.1222,0
06001450400,Alameda,7886,0.4052,0.232,0,0.0990916062579135,151272,0.1556,1
06001441702,Alameda,5037,0.4823,0.134,1,0.0,99181,0.1185,0
06001433801,Alameda,3528,0.4355,0.0498,0,0.0778711385655096,94254,0.0914,0
06001433802,Alameda,4301,0.443,0.2579,0,0.4879811556609928,100784,0.1265,0
06001436302,Alameda,3932,0.415,0.0943,0,0.3392255442142359,90833,0.1311,1
06001436403,Alameda,4519,0.6008,0.2826,0,0.0174950322600471,75179,0.2211,1
06001436404,Alameda,3232,0.4009,0.1824,1,0.0,150903,0.1644,1
06001442502,Alameda,3866,0.3526,0.1118,1,0.0,157760,0.1248,0
06001442501,Alameda,3280,0.5241,0.1827,1,0.0,91867,0.1425,1
06001450609,Alameda,4928,0.3738,0.2017,0,0.1665483998429885,152857,0.1605,1
06001450608,Alameda,4658,0.3166,0.2182,1,0.0,250001,0.1568,1
06001444303,Alameda,0,0.5477,0.0999,1,0.0,-666666666,0.1064,0
06001432601,Alameda,4092,0.4184,0.1482,0,0.4450759301722069,91767,0.126,0
