NAME,total_population,total_commuters,public_transit_commuters,drove_alone,carpooled,worked_from_home,travel_time_total,commute_60_to_89_min,commute_90_plus_min,median_household_income,total_households_vehicles,zero_vehicle_households,total_pop_race,white_non_hispanic,black,asian,hispanic_latino,state,county,tract,county_name,GEOID
Census Tract 4001; Alameda County; California,3269,1582,145,630,141,92,1018,107,39,234236,1377,95,3269,2255,171,477,167,06,001,400100,Alameda,06001400100
Census Tract 4002; Alameda County; California,2147,1124,287,250,62,21,669,97,16,225500,876,83,2147,1500,38,251,159,06,001,400200,Alameda,06001400200
Census Tract 4003; Alameda County; California,5619,3301,921,918,115,97,2224,299,91,164000,2638,367,5619,3290,529,635,568,06,001,400300,Alameda,06001400300
Census Tract 4004; Alameda County; California,4278,2455,516,752,170,110,1749,172,80,158836,1760,249,4278,2740,499,373,306,06,001,400400,Alameda,06001400400
Census Tract 4005; Alameda County; California,3949,2210,395,859,108,37,1537,106,29,95078,1679,143,3949,1638,993,370,612,06,001,400500,Alameda,06001400500
Census Tract 4006; Alameda County; California,2058,1311,240,559,58,34,941,52,127,155893,768,72,2058,905,539,131,134,06,001,400600,Alameda,06001400600
Census Tract 4007; Alameda County; California,4758,3099,726,1047,234,52,2289,185,49,110556,2012,279,4758,2293,1101,398,470,06,001,400700,Alameda,06001400700
Census Tract 4008; Alameda County; California,4335,2831,485,1119,117,111,2113,206,152,97132,1885,189,4335,2228,643,695,387,06,001,400800,Alameda,06001400800
Census Tract 4009; Alameda County; California,2844,1942,317,890,154,23,1507,73,21,114583,1113,50,2844,1052,692,174,533,06,001,400900,Alameda,06001400900
Census Tract 4010; Alameda County; California,6277,3942,742,1200,249,103,2584,175,53,153654,2302,356,6277,2095,1478,464,1389,06,001,401000,Alameda,06001401000
Census Tract 4011; Alameda County; California,5537,3480,1314,1107,69,67,2720,248,171,93121,2649,410,5537,2325,906,1005,658,06,001,401100,Alameda,06001401100
Census Tract 4012; Alameda County; California,2994,2005,544,614,150,25,1473,228,0,115045,1429,163,2994,1718,239,441,387,06,001,401200,Alameda,06001401200
Census Tract 4013; Alameda County; California,4608,3085,665,983,145,380,2474,402,128,104226,2401,749,4608,1657,1325,827,393,06,001,401300,Alameda,06001401300
Census Tract 4014; Alameda County; California,5392,3202,850,1532,255,93,2875,272,149,95011,1741,286,5392,1380,1716,731,1175,06,001,401400,Alameda,06001401400
Census Tract 4015; Alameda County; California,3035,1709,337,853,40,104,1469,94,78,75568,1203,349,3035,662,1666,88,467,06,001,401500,Alameda,06001401500
Census Tract 4016; Alameda County; California,2403,1333,185,609,150,39,1063,24,23,88304,909,100,2403,446,788,265,697,06,001,401600,Alameda,06001401600
Census Tract 4017; Alameda County; California,3276,2224,431,1017,147,0,1681,240,30,145833,1406,60,3276,1487,452,551,549,06,001,401700,Alameda,06001401700
Census Tract 4018; Alameda County; California,1709,965,315,330,63,12,804,101,37,72401,693,192,1709,417,649,78,454,06,001,401800,Alameda,06001401800
Census Tract 4022; Alameda County; California,2337,1435,362,518,116,64,1139,94,59,96200,924,172,2337,747,647,295,537,06,001,402200,Alameda,06001402200
Census Tract 4024; Alameda County; California,2623,1156,357,448,22,81,1008,161,14,31279,1242,474,2623,349,1432,393,228,06,001,402400,Alameda,06001402400
Census Tract 4025; Alameda County; California,2010,738,265,314,40,23,666,217,33,34250,773,280,2010,314,878,388,235,06,001,402500,Alameda,06001402500
Census Tract 4026; Alameda County; California,1300,593,77,272,28,67,489,0,7,45560,615,187,1300,123,500,479,76,06,001,402600,Alameda,06001402600
Census Tract 4027; Alameda County; California,2039,1122,357,341,84,65,894,47,34,115750,735,190,2039,523,763,312,347,06,001,402700,Alameda,06001402700
Census Tract 4028.01; Alameda County; California,3254,1858,619,467,123,130,1440,243,36,74931,1707,735,3254,869,1411,620,148,06,001,402801,Alameda,06001402801
Census Tract 4028.02; Alameda County; California,1430,590,158,123,26,57,473,39,13,-666666666,717,446,1430,329,613,252,51,06,001,402802,Alameda,06001402802
Census Tract 4029; Alameda County; California,1828,918,347,186,12,79,663,81,17,37973,1236,727,1828,365,408,806,182,06,001,402900,Alameda,06001402900
Census Tract 4030; Alameda County; California,2897,1187,401,326,49,189,965,14,10,32077,1566,868,2897,250,146,2222,62,06,001,403000,Alameda,06001403000
Census Tract 4031; Alameda County; California,1941,1072,376,287,6,44,726,57,33,136071,960,353,1941,767,323,537,241,06,001,403100,Alameda,06001403100
Census Tract 4033.01; Alameda County; California,1830,923,235,338,114,171,858,212,42,34417,771,284,1830,187,51,1262,38,06,001,403301,Alameda,06001403301
Census Tract 4033.02; Alameda County; California,2556,2136,652,563,24,173,1602,236,45,148235,1416,231,2556,1317,123,559,158,06,001,403302,Alameda,06001403302
Census Tract 4034.01; Alameda County; California,2717,1556,413,477,73,205,1261,138,0,69984,1985,774,2717,1154,447,678,238,06,001,403401,Alameda,06001403401
Census Tract 4034.02; Alameda County; California,1134,925,427,136,132,95,810,113,0,89021,735,282,1134,493,172,152,135,06,001,403402,Alameda,06001403402
Census Tract 4035.01; Alameda County; California,4904,3069,720,1163,58,177,2359,246,101,104167,2714,749,4904,1874,740,1525,387,06,001,403501,Alameda,06001403501
Census Tract 4035.02; Alameda County; California,1919,1337,446,377,64,68,1013,115,78,108478,1118,181,1919,939,221,208,324,06,001,403502,Alameda,06001403502
Census Tract 4036; Alameda County; California,5056,3264,419,1236,82,484,2370,223,46,99925,2833,346,5056,1933,1174,497,857,06,001,403600,Alameda,06001403600
Census Tract 4037.01; Alameda County; California,2909,1853,323,645,87,126,1335,88,132,84063,1752,453,2909,1222,632,573,305,06,001,403701,Alameda,06001403701
